timestamp,temperature_celsius,wind_speed_mps,solar_irradiance_w_m2,snowfall_rate,icing_factor,critical_load_kw,important_load_kw,flexible_load_kw
2026-01-01T00:00:00Z,-26.0,8.0,0.0,0.0,1.0,15,25,10
2026-01-01T01:00:00Z,-25.86,8.52,0.0,0.0,1.0,15,25,10
2026-01-01T02:00:00Z,-25.46,9.0,0.0,0.0,1.0,15,25,10
2026-01-01T03:00:00Z,-24.83,9.41,0.0,0.0,1.0,15,25,10
2026-01-01T04:00:00Z,-24.0,9.73,0.0,0.0,1.0,15,25,10
2026-01-01T05:00:00Z,-23.04,9.93,0.0,0.0,1.0,15,25,10
2026-01-01T06:00:00Z,-22.0,10.0,0.0,0.0,1.0,15,25,10
2026-01-01T07:00:00Z,-20.96,9.93,181.17,0.0,1.0,15,25,10
2026-01-01T08:00:00Z,-20.0,9.73,350.0,0.0,1.0,15,25,10
2026-01-01T09:00:00Z,-19.17,9.41,494.97,0.0,1.0,15,25,10
2026-01-01T10:00:00Z,-18.54,9.0,606.22,0.0,1.0,15,25,10
2026-01-01T11:00:00Z,-18.14,8.52,676.15,0.0,1.0,15,25,10
2026-01-01T12:00:00Z,-18.0,8.0,700.0,0.0,1.0,15,25,10
2026-01-01T13:00:00Z,-18.14,7.48,676.15,0.0,1.0,15,25,10
2026-01-01T14:00:00Z,-18.54,7.0,606.22,0.0,1.0,15,25,10
2026-01-01T15:00:00Z,-19.17,6.59,494.97,0.0,1.0,15,25,10
2026-01-01T16:00:00Z,-20.0,6.27,350.0,0.0,1.0,15,25,10
2026-01-01T17:00:00Z,-20.96,6.07,181.17,0.0,1.0,15,25,10
2026-01-01T18:00:00Z,-22.0,6.0,0.0,0.0,1.0,15,25,10
2026-01-01T19:00:00Z,-23.04,6.07,0.0,0.0,1.0,15,25,10
2026-01-01T20:00:00Z,-24.0,6.27,0.0,0.0,1.0,15,25,10
2026-01-01T21:00:00Z,-24.83,6.59,0.0,0.0,1.0,15,25,10
2026-01-01T22:00:00Z,-25.46,7.0,0.0,0.0,1.0,15,25,10
2026-01-01T23:00:00Z,-25.86,7.48,0.0,0.0,1.0,15,25,10
